Type,Sentence,Grammatical,Is Training,Critical String,Region Start,Region End
<S_FG>,I know who Michael's recent talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Ashley's recent talking to bothered recently,True,True,recently,47,55
<S_FG>,I know who Daniel's recent talking to bothered recently,True,True,recently,47,55
<S_FG>,I know who John's recent talking to bothered recently,True,True,recently,45,53
<S_FG>,I know who Brandon's recent talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who William's recent talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Nicole's recent talking to bothered recently,True,True,recently,47,55
<S_FG>,I know who Eric's recent talking to bothered recently,True,True,recently,45,53
<S_FG>,I know who Melissa's recent talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Timothy's recent talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Michael's current talking to bothered recently,True,True,recently,49,57
<S_FG>,I know who Ashley's current talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Daniel's current talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who John's current talking to bothered recently,True,True,recently,46,54
<S_FG>,I know who Brandon's current talking to bothered recently,True,True,recently,49,57
<S_FG>,I know who William's current talking to bothered recently,True,True,recently,49,57
<S_FG>,I know who Nicole's current talking to bothered recently,True,True,recently,48,56
<S_FG>,I know who Eric's current talking to bothered recently,True,True,recently,46,54
<S_FG>,I know who Melissa's current talking to bothered recently,True,True,recently,49,57
<S_FG>,I know who Timothy's current talking to bothered recently,True,True,recently,49,57
<S_FG>,I know who Michael's recent attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Ashley's recent attitude towards bothered recently,True,True,recently,53,61
<S_FG>,I know who Daniel's recent attitude towards bothered recently,True,True,recently,53,61
<S_FG>,I know who John's recent attitude towards bothered recently,True,True,recently,51,59
<S_FG>,I know who Brandon's recent attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who William's recent attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Nicole's recent attitude towards bothered recently,True,True,recently,53,61
<S_FG>,I know who Eric's recent attitude towards bothered recently,True,True,recently,51,59
<S_FG>,I know who Melissa's recent attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Timothy's recent attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Michael's current attitude towards bothered recently,True,True,recently,55,63
<S_FG>,I know who Ashley's current attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Daniel's current attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who John's current attitude towards bothered recently,True,True,recently,52,60
<S_FG>,I know who Brandon's current attitude towards bothered recently,True,True,recently,55,63
<S_FG>,I know who William's current attitude towards bothered recently,True,True,recently,55,63
<S_FG>,I know who Nicole's current attitude towards bothered recently,True,True,recently,54,62
<S_FG>,I know who Eric's current attitude towards bothered recently,True,True,recently,52,60
